X,Y,Z,ROTW,ROTX,ROTY,ROTZ
0.03804473,0.05901294,1.924916,-0.003190074,-0.0149651,0.9994507,-0.02939527
0.02849494,0.3755778,1.906305,-0.007631953,-0.01483431,0.9994267,-0.0294615
0.01910599,0.6778691,1.875472,-0.01161874,-0.01497047,0.9976184,-0.06632013
0.009837487,0.8201358,1.850483,0,0,0,0
-0.1542186,0.5530771,1.871721,-0.005686629,0.7978546,-0.6004018,0.05397518
-0.2249821,0.3078571,1.882483,-0.05944198,0.8256597,-0.1284342,-0.5461296
-0.2474265,0.09881899,1.806944,-0.1291063,0.8735523,-0.1243845,0.4525114
-0.2453131,0.04696096,1.774552,-0.2507647,0.8452204,-0.1153347,0.4576217
0.1915219,0.5626349,1.863728,-0.01993668,0.7826543,0.6177681,-0.07360204
0.2694652,0.3112659,1.900937,-0.04303668,0.7481824,0.1590033,0.64272
0.3142749,0.1058781,1.826144,-0.08882995,0.8253857,0.1785003,-0.5281906
0.3386348,0.02004451,1.777427,-0.1421053,0.8071012,0.2400673,-0.5203474
-0.0421091,0.05567268,1.887984,-0.1347689,0.7003502,-0.680387,0.1685838
-0.1294596,-0.2390448,1.695059,0.2648438,-0.5515326,-0.1543305,0.7757909
-0.08407953,-0.4179705,1.84614,-0.2325924,-0.3868668,0.2661782,0.8516948
-0.1180712,-0.500043,1.838685,0,0,0,0
0.1167118,0.0600539,1.886851,-0.1359706,0.6795622,0.6981885,-0.1795553
0.1936936,-0.2426761,1.704558,-0.2442693,0.5626318,-0.1476869,0.775865
0.1503395,-0.4161716,1.855846,0.2789164,0.5321129,0.2277475,0.7662848
0.1584585,-0.5049814,1.846707,0,0,0,0
0.02143974,0.6042582,1.885277,-0.0119235,-0.0148238,0.9987605,-0.04599465
-0.2371502,-0.02246838,1.735509,0,0,0,0
-0.2270522,0.02072604,1.738333,0,0,0,0
0.3544949,-0.04487697,1.756388,0,0,0,0
0.3188083,-0.02532091,1.735538,0,0,0,0
0.04333772,0.06471247,1.888196,-0.008731952,-0.02125349,0.9996322,0.01440022
0.03013238,0.3769277,1.897313,-0.0109543,-0.02128545,0.9996104,0.01435293
0.0191698,0.6778131,1.875382,-0.01145838,-0.01609109,0.9978174,-0.06300998
0.01000691,0.8199874,1.85022,0,0,0,0
-0.1541332,0.5530841,1.871625,-0.01483877,0.7986649,-0.6002946,0.039503
-0.2246811,0.3085478,1.882521,-0.05797455,0.830597,-0.1291177,-0.5385872
-0.2439629,0.1000978,1.804811,-0.05518647,0.5145059,-0.1737871,0.837876
-0.2436486,0.04590979,1.774547,-0.1316711,0.4971823,-0.2147903,0.8302637
0.1915814,0.5625998,1.863593,-0.02948997,0.7840222,0.6171718,-0.05948577
0.270188,0.3117863,1.900985,-0.04310368,0.750199,0.1605653,0.6399706
0.3147812,0.1065709,1.826222,-0.07960878,0.7964386,0.1826575,-0.5709503
0.3400587,0.02215622,1.778571,-0.1239807,0.7782865,0.2515964,-0.5617812
-0.03705567,0.06137701,1.85216,-0.1599196,0.7075657,-0.6749143,0.1351552
-0.1444056,-0.2711694,1.747099,0.2010501,-0.4455603,-0.06249594,0.8701431
-0.08385354,-0.4174411,1.845851,-0.2548918,-0.3127046,0.2075068,0.8911716
-0.1178204,-0.4993002,1.838475,0,0,0,0
0.1220118,0.06547971,1.849401,-0.1637738,0.686195,0.6910508,-0.1573636
0.1920146,-0.2800598,1.766092,-0.1434481,0.5046644,-0.05011319,0.8498383
0.1512786,-0.4157251,1.855908,0.2559471,0.4967538,0.173379,0.8109664
0.1587303,-0.5045379,1.846332,0,0,0,0
0.02165867,0.6042694,1.884681,-0.01225481,-0.01826383,0.9993671,-0.02796128
-0.2360251,-0.02259469,1.736292,0,0,0,0
-0.2233411,0.04278027,1.7595,0,0,0,0
0.3580713,-0.04504793,1.757669,0,0,0,0
0.3190006,-0.02495938,1.735633,0,0,0,0
0.04451819,0.06217958,1.885625,-0.01351757,-0.02039416,0.9996363,0.01134201
0.0318074,0.3759413,1.892921,-0.01356886,-0.02039474,0.9996356,0.01134096
0.01955686,0.677785,1.87542,-0.01207548,-0.01827029,0.998081,-0.05792037
0.01049626,0.8201643,1.850039,0,0,0,0
-0.1539636,0.553137,1.871661,-0.01776207,0.7985224,-0.6008494,0.03203809
-0.223492,0.3091047,1.884091,-0.05498729,0.8285442,-0.1291857,-0.542035
-0.2400483,0.1021869,1.802396,-0.1482079,0.8716266,-0.1193827,0.4517183
-0.243636,0.03516779,1.771569,-0.1778808,0.8655357,-0.1210138,0.4522852
0.1935277,0.5618954,1.863033,-0.03342013,0.7849883,0.6163275,-0.05307299
0.2709757,0.3130732,1.901887,-0.04172463,0.7426544,0.1614628,0.6485777
0.31694,0.1089167,1.826174,-0.08089788,0.7992654,0.1864513,-0.5655671
0.3432457,0.02082223,1.78027,-0.1120111,0.7855622,0.2425184,-0.558149
-0.03603637,0.05940091,1.850282,-0.1555864,0.7055337,-0.678238,0.1341943
-0.08141726,-0.2643402,1.810873,0.09153784,-0.6898271,0.004599553,0.7181492
-0.1138827,-0.5731514,1.884756,0.04599184,0.6997856,-0.1188715,-0.70289
-0.09720837,-0.4657906,1.825904,0,0,0,0
0.1233055,0.06242301,1.845966,-0.1644122,0.687211,0.6887296,-0.1623617
0.1635765,-0.2609136,1.826433,-0.06463736,0.7143236,0.02333716,0.6964332
0.1386622,-0.5689318,1.905987,0.1169369,0.702912,0.06074223,0.6989641
0.15764,-0.4665481,1.836046,0,0,0,0
0.02236577,0.6041584,1.883963,-0.0129957,-0.02040388,0.9995099,-0.01986907
-0.2576593,-0.04312591,1.744327,0,0,0,0
-0.2227885,-0.005571437,1.730154,0,0,0,0
0.3600053,-0.04994497,1.762459,0,0,0,0
0.3207931,-0.01000834,1.741478,0,0,0,0
0.04518154,0.06174838,1.885419,-0.01519842,-0.02003707,0.9996364,0.009733848
0.03267685,0.3759115,1.89173,-0.0146737,-0.02003196,0.9996442,0.009744364
0.01996911,0.6778233,1.875492,-0.01272618,-0.0194463,0.9982205,-0.05491523
0.01162656,0.8202283,1.849528,0,0,0,0
-0.1535486,0.5533568,1.871831,-0.01759011,0.7982808,-0.6012937,0.02973565
-0.2215286,0.3093387,1.886314,-0.05186167,0.8205764,-0.128208,-0.5545516
-0.2388185,0.1005156,1.802109,-0.152737,0.8781661,-0.1196414,0.4372431
-0.2432888,0.0294117,1.773473,-0.1566693,0.8776584,-0.1115349,0.4390106
0.1962526,0.5616066,1.862516,-0.03404794,0.7847633,0.6166949,-0.05171758
0.2732938,0.3151269,1.902874,-0.04014245,0.7392856,0.1639539,0.6518931
0.319936,0.1117675,1.826623,0.02974824,-0.6260937,-0.2034213,0.7521578
0.3451966,0.02236359,1.782625,0.04344276,-0.6171189,-0.2514976,0.7443292
-0.0354379,0.05905444,1.850299,-0.1536716,0.7051656,-0.6790248,0.1343567
-0.07915437,-0.2504869,1.811008,0.09364434,-0.6882668,0.002919132,0.7193823
-0.1142916,-0.5647199,1.886432,0.0437537,0.698678,-0.1214239,-0.7036981
-0.09565572,-0.458809,1.823635,0,0,0,0
0.1240463,0.06189517,1.84544,-0.1643944,0.6871439,0.6883346,-0.1643266
0.1635123,-0.2579942,1.826696,-0.06355664,0.7155756,0.02366317,0.6952353
0.1389471,-0.5713577,1.908652,0.1172657,0.7040574,0.06248455,0.6976014
0.1566902,-0.4687012,1.838435,0,0,0,0
0.02295033,0.6042057,1.883582,-0.01360727,-0.02103335,0.999522,-0.01811397
-0.2579843,-0.05051358,1.750608,0,0,0,0
-0.2225882,-0.001916325,1.732276,0,0,0,0
0.3601491,-0.05471912,1.764247,0,0,0,0
0.3150288,0.01426469,1.767588,0,0,0,0
0.0466114,0.06187608,1.885952,-0.01774653,-0.02047372,0.9996021,0.007842178
0.03382178,0.3761797,1.891113,-0.01672936,-0.02046573,0.9996197,0.007863008
0.02074605,0.6778639,1.875438,-0.01440127,-0.02077269,0.9983164,-0.05220558
0.01330295,0.8201922,1.848472,0,0,0,0
-0.1529185,0.5535588,1.872055,-0.0163879,0.7980614,-0.6016973,0.02810132
-0.2191805,0.3092069,1.888572,-0.04875603,0.8112531,-0.1267866,-0.5686971
-0.2389712,0.1030038,1.808117,-0.1435721,0.8743811,-0.1242484,0.4465502
-0.2429749,0.03275113,1.776199,-0.175628,0.8679848,-0.1206112,0.4485644
0.1987251,0.5612751,1.86144,-0.03486744,0.7848125,0.6165172,-0.05253641
0.2759818,0.316731,1.903856,-0.03768639,0.7387201,0.1679189,0.6516714
0.3227116,0.1138414,1.827405,-0.0320849,-0.3743411,-0.2039307,0.9040197
0.3480676,0.02287769,1.783617,-0.03341147,-0.3692836,-0.2488696,0.8947498
-0.0338917,0.05925644,1.851284,-0.1512357,0.704982,-0.6798462,0.1339308
-0.0789085,-0.2486335,1.811031,0.09664363,-0.6858855,0.002964784,0.7212575
-0.1160265,-0.5666348,1.886128,0.04044995,0.6970714,-0.1218954,-0.7054054
-0.09252364,-0.461852,1.822287,0,0,0,0
0.1253765,0.06197503,1.845618,-0.1644313,0.6866727,0.6881289,-0.167097
0.1645369,-0.2573196,1.827462,-0.0626336,0.7174413,0.02417183,0.6933762
0.1408704,-0.5740916,1.911169,0.1170711,0.7057487,0.06437138,0.695751
0.1573458,-0.4711151,1.840705,0,0,0,0
0.02392713,0.6043168,1.883109,-0.01518998,-0.02139177,0.9994965,-0.01784789
-0.2550549,-0.050421,1.751041,0,0,0,0
-0.2206911,0.005253021,1.737812,0,0,0,0
0.3644161,-0.05337982,1.765521,0,0,0,0
0.3104948,0.05250154,1.7984,0,0,0,0
0.04874112,0.06224473,1.887628,-0.02203366,-0.01995651,0.9995462,0.00486053
0.03626097,0.3764933,1.89096,-0.02061389,-0.01994959,0.9995764,0.004888871
0.02438183,0.6777277,1.875437,-0.0180588,-0.01893493,0.9984463,-0.04919535
0.01486188,0.8200129,1.847652,0,0,0,0
-0.148853,0.5547439,1.873692,-0.01185848,0.796685,-0.6037701,0.02478074
-0.2153708,0.3096307,1.891907,-0.04875302,0.7993125,-0.1277197,-0.5851585
-0.2393518,0.1037761,1.812406,-0.1403624,0.8840712,-0.1288552,0.4267468
-0.2422516,0.03113192,1.78091,-0.173781,0.8778831,-0.10662,0.4333054
0.2015546,0.5614862,1.860557,-0.03489291,0.7845427,0.6166776,-0.05462625
0.2800903,0.318029,1.904113,-0.03655365,0.7427879,0.1719341,0.6460408
0.3262607,0.1150944,1.828025,0.02831293,-0.6183263,-0.2032229,0.7586642
0.3508233,0.02514745,1.785609,0.0387404,-0.6111804,-0.2438339,0.7519992
-0.0316529,0.0597507,1.853716,-0.1467688,0.7046362,-0.6813024,0.1333187
-0.07917375,-0.2490474,1.811449,0.1013419,-0.6820163,0.002879134,0.7242757
-0.1210002,-0.5690846,1.885448,-0.03340922,-0.6941993,0.1250533,0.7080485
-0.09366138,-0.4648845,1.822633,0,0,0,0
0.1273241,0.06224366,1.846696,-0.1650108,0.6860518,0.6875794,-0.171286
0.1658042,-0.2568703,1.828992,-0.06133712,0.7205233,0.02418742,0.690289
0.1425583,-0.57554,1.914126,0.1177083,0.7086813,0.06543027,0.6925564
0.1595225,-0.4725897,1.843871,0,0,0,0
0.02730367,0.6043313,1.882637,-0.01869195,-0.01929136,0.9994659,-0.01861092
-0.2524463,-0.05180429,1.757216,0,0,0,0
-0.2194705,-0.01524284,1.734368,0,0,0,0
0.3666785,-0.0527677,1.771191,0,0,0,0
0.3189819,0.01994055,1.771937,0,0,0,0
0.05157133,0.0638477,1.891504,-0.02812378,-0.02037679,0.9993965,-0.0006603216
