X,Y,Z,ROTW,ROTX,ROTY,ROTZ
-0.01797442,0.04235655,1.873283,-0.02156193,-0.01377342,0.9992832,0.02790147
-0.02662653,0.3703992,1.891807,-0.01615754,-0.01362232,0.9993852,0.02797555
-0.0347542,0.6826065,1.897586,-0.01017431,-0.01283601,0.9998536,-0.0049651
-0.05059534,0.8302359,1.886051,0,0,0,0
-0.2161241,0.5391158,1.880871,-0.04621144,0.8197524,-0.5707336,0.01156274
-0.2388879,0.2844734,1.880215,-0.02604045,0.8273519,-0.03618719,-0.5599118
-0.2255659,0.04695164,1.793633,-0.1642715,0.8562261,-0.06247139,0.4857869
-0.1990192,-0.02031414,1.773221,-0.2150117,0.8221354,0.07854465,0.5212429
0.1400756,0.5567816,1.875051,-0.05806174,0.7978294,0.5993448,-0.02971242
0.2025059,0.3018908,1.888063,-0.05996753,0.74743,0.106558,0.6529914
0.2338171,0.1073087,1.785515,-0.2484718,0.9025941,-0.01856898,0.3510567
0.2406947,0.01890032,1.732232,-0.262457,0.9012754,-0.06186753,0.3391037
-0.09961618,0.03741196,1.837464,-0.1620313,0.7152712,-0.6678755,0.126788
-0.1009845,-0.3419673,1.855605,-0.01524309,-0.6923177,0.01848068,0.721195
-0.09441729,-0.6991109,1.914718,-0.05554368,-0.5862474,0.06088749,0.8059291
-0.1236572,-0.7685547,1.831055,0,0,0,0
0.06443933,0.04552937,1.830699,-0.1830906,0.6782456,0.6953914,-0.1512996
0.08901033,-0.3409867,1.851716,-0.00235875,0.7213288,0.04165076,0.6913353
0.08747364,-0.7007845,1.885349,0.0314987,0.6403682,0.03439007,0.766651
0.104248,-0.765625,1.796875,0,0,0,0
-0.03279586,0.6066402,1.89832,-0.01041733,-0.01319309,0.9997656,0.013642
-0.1743043,-0.1252319,1.753846,0,0,0,0
-0.1476684,-0.01313028,1.728415,0,0,0,0
0.2419994,-0.05662777,1.70882,0,0,0,0
0.2579578,0.0119294,1.689731,0,0,0,0
-0.01801475,0.04222283,1.873296,-0.02154863,-0.01372205,0.9992844,0.02789116
-0.02663583,0.370355,1.891817,-0.0161714,-0.01357177,0.999386,0.02796459
-0.03475269,0.6826034,1.897591,-0.01021682,-0.01282817,0.9998531,-0.004974609
-0.05059445,0.8302184,1.886051,0,0,0,0
-0.2161247,0.5391223,1.880876,-0.04621948,0.8197306,-0.5707642,0.01156301
-0.2389468,0.2840312,1.880219,-0.02605429,0.8274221,-0.03622061,-0.5598053
-0.2255763,0.04693355,1.793635,-0.1643324,0.8541864,-0.06316205,0.4892555
-0.200072,-0.01823597,1.773349,-0.2173441,0.8201947,0.07454912,0.5239128
0.140085,0.55673,1.875022,-0.05812567,0.797889,0.599256,-0.02977789
0.2025354,0.3018766,1.888095,-0.05930607,0.7511109,0.1070147,0.6487397
0.2328559,0.1065533,1.786546,-0.1909029,0.5457901,-0.1551713,0.8009939
0.2349582,0.01628122,1.73914,-0.1468795,0.5605143,-0.1893389,0.7927175
-0.09965039,0.03732207,1.837473,-0.1620733,0.7150976,-0.6680475,0.1268071
-0.1011092,-0.3421004,1.855739,-0.01526888,-0.6923273,0.01867872,0.7211802
-0.09442765,-0.6991003,1.914744,-0.05562015,-0.5864084,0.06068949,0.8058216
-0.1236214,-0.768521,1.831021,0,0,0,0
0.06439483,0.04534907,1.830708,-0.1830734,0.6784188,0.6952159,-0.1513503
0.089018,-0.3410323,1.85172,-0.002410868,0.7213224,0.04170931,0.6913382
0.08734294,-0.7007335,1.885353,0.03163872,0.6400356,0.03428923,0.7669274
0.1042115,-0.765625,1.7967,0,0,0,0
-0.03279535,0.6066312,1.898327,-0.01045938,-0.01317088,0.9997656,0.01363283
-0.1699324,-0.1223046,1.753012,0,0,0,0
-0.147388,-0.0201632,1.725837,0,0,0,0
0.2357165,-0.05995414,1.713936,0,0,0,0
0.2701936,-0.005241743,1.7282,0,0,0,0
-0.01800499,0.04222536,1.873297,-0.0216905,-0.01372734,0.9992813,0.0278904
-0.02662655,0.3703432,1.891818,-0.01624316,-0.01357511,0.9993847,0.02796481
-0.03474037,0.6825581,1.897592,-0.01021663,-0.01282631,0.9998531,-0.004975257
-0.05057841,0.8301541,1.886072,0,0,0,0
-0.2161381,0.5391134,1.880876,-0.04621666,0.8196825,-0.5708335,0.01156536
-0.238969,0.2840301,1.88022,-0.02606329,0.8274488,-0.03623692,-0.5597641
-0.2256028,0.04687256,1.793635,-0.1621072,0.8375079,-0.06856575,0.5173011
-0.2005804,-0.01921061,1.773344,-0.2155345,0.8039662,0.06408599,0.5505236
0.1400884,0.5566889,1.875024,-0.05812653,0.7979029,0.5992375,-0.02977627
0.2023965,0.3016405,1.888094,-0.05775519,0.7591928,0.1074675,0.6393289
0.2306613,0.1044691,1.789725,-0.184955,0.5604042,-0.1483844,0.7935495
0.2297477,0.01248184,1.747307,-0.1233694,0.5791037,-0.1753514,0.7865562
-0.09963368,0.03733134,1.837498,-0.1620082,0.7150891,-0.6680879,0.1267261
-0.1014743,-0.3417494,1.855524,-0.01469865,-0.6922308,0.01881858,0.7212811
-0.09437878,-0.6992383,1.914797,-0.05623253,-0.5865495,0.06055287,0.8056867
-0.1234793,-0.7684047,1.831023,0,0,0,0
0.06441195,0.04534883,1.830685,-0.1831328,0.6784166,0.6951873,-0.15142
0.08900864,-0.3411035,1.851626,-0.002448071,0.7214218,0.04161352,0.6912401
0.08729197,-0.7006083,1.885354,0.03319867,0.6716427,0.03300837,0.7393946
0.09891788,-0.7693295,1.76735,0,0,0,0
-0.03278358,0.6065964,1.898328,-0.01045914,-0.01316688,0.9997656,0.01363422
-0.1703811,-0.1266455,1.751209,0,0,0,0
-0.1475672,-0.01511374,1.728069,0,0,0,0
0.2286393,-0.06572015,1.724679,0,0,0,0
0.2622759,-0.012613,1.733222,0,0,0,0
-0.01798993,0.04225177,1.873307,-0.02178311,-0.01373277,0.9992784,0.02792289
-0.02661219,0.3703425,1.891848,-0.01625338,-0.01357805,0.9993836,0.02799845
-0.03471861,0.6825146,1.897678,-0.01014342,-0.01281696,0.9998546,-0.004861332
-0.05058342,0.8301548,1.886146,0,0,0,0
-0.2161243,0.5391043,1.880875,-0.04639312,0.819647,-0.570869,0.01162259
-0.2389919,0.2839849,1.880253,-0.02605103,0.8273444,-0.03632349,-0.5599135
-0.2256826,0.04683656,1.793678,-0.1618614,0.8361648,-0.06907792,0.5194781
-0.2008145,-0.01840216,1.774248,-0.2131627,0.8022835,0.06677427,0.5535738
0.140149,0.556595,1.875073,-0.05821596,0.797988,0.5991188,-0.02971035
0.2018109,0.3003495,1.888257,-0.05489325,0.7692448,0.1071002,0.6275178
0.2270856,0.1009672,1.793621,-0.2025549,0.72998,-0.101016,0.6449003
0.2221268,0.01369779,1.759077,-0.1241683,0.743598,-0.142569,0.6413411
-0.09961474,0.03737663,1.837528,-0.1619806,0.7150364,-0.6681707,0.1266222
-0.1014566,-0.3417723,1.855525,-0.01466638,-0.6921645,0.01878986,0.7213461
-0.09437751,-0.6991161,1.914679,-0.05612837,-0.5863776,0.06047195,0.8058251
-0.1234805,-0.7683975,1.831044,0,0,0,0
0.06442313,0.04536246,1.830684,-0.1831812,0.6784596,0.6951249,-0.1514551
0.08897823,-0.3412068,1.851676,-0.002358183,0.7214842,0.04160874,0.6911758
0.08725779,-0.700313,1.885431,0.03237775,0.651854,0.03393638,0.7568926
0.1030171,-0.7677506,1.784209,0,0,0,0
-0.03276382,0.6065666,1.898397,-0.01038527,-0.01315688,0.9997654,0.01371815
-0.1743248,-0.1219355,1.754659,0,0,0,0
-0.1479754,-0.02163715,1.726837,0,0,0,0
0.2234823,-0.07024251,1.732861,0,0,0,0
0.260718,-0.006519613,1.74825,0,0,0,0
-0.01791197,0.04216802,1.873308,-0.02189697,-0.01376761,0.999274,0.02797449
-0.02655532,0.3702972,1.891887,-0.01625165,-0.01360936,0.9993817,0.02805182
-0.03466533,0.6824958,1.897763,-0.01002293,-0.0128157,0.9998563,-0.004769117
-0.05060971,0.8301568,1.886263,0,0,0,0
-0.2161293,0.5391046,1.880876,-0.04654389,0.8195776,-0.5709547,0.01170343
