X,Y,Z,ROTW,ROTX,ROTY,ROTZ
-0.02229952,0.03916055,1.748256,-0.02674064,-0.01507676,0.9991913,0.02596655
-0.03185712,0.3711099,1.765781,-0.02030968,-0.01490934,0.9993427,0.02606305
-0.04077007,0.6856698,1.770514,-0.01325963,-0.01391082,0.9997945,-0.00645307
-0.05977141,0.8320324,1.761951,0,0,0,0
-0.2213531,0.5508,1.75873,-0.03594143,0.8074947,-0.5887375,0.006981869
-0.2621751,0.2956018,1.761138,-0.04454025,0.7906695,-0.06568373,-0.607078
-0.2731281,0.08340074,1.678424,0.1438208,-0.6703159,-0.1182916,0.7183309
-0.2565036,0.007180808,1.654192,-0.03518671,0.7016947,0.1795433,-0.688586
0.1325672,0.559504,1.750088,-0.0526048,0.798604,0.5988383,-0.029274
0.2058958,0.3140192,1.776865,-0.0519482,0.7585031,0.1442695,0.6333725
0.2430149,0.1096108,1.681401,-0.2172118,0.7392237,-0.07615923,0.6329038
0.2491222,0.02970494,1.633454,-0.2261748,0.7387199,-0.144997,0.6181535
-0.1034698,0.03629165,1.713103,-0.1614805,0.7075776,-0.6765471,0.1246674
-0.1223456,-0.3397512,1.717114,0.01451868,-0.6881684,0.02112495,0.7250981
-0.1180428,-0.7056403,1.766094,-0.04313648,-0.5757817,0.05092766,0.8148749
-0.1485596,-0.7670898,1.685547,0,0,0,0
0.05990818,0.04026091,1.704423,-0.1837708,0.6846443,0.6871196,-0.1592389
0.09128491,-0.333454,1.722091,-0.01169023,0.7248167,0.04656579,0.6872668
0.08940133,-0.6962713,1.757375,0.03319137,0.6434364,0.03539332,0.7639602
0.1053467,-0.7602539,1.668945,0,0,0,0
-0.0386314,0.6092894,1.771472,-0.01352156,-0.01437378,0.9997362,0.01174674
-0.2688112,-0.06670333,1.627587,0,0,0,0
-0.3019392,-0.01610429,1.638687,0,0,0,0
0.2502614,-0.04613408,1.600378,0,0,0,0
0.273116,0.01483592,1.598125,0,0,0,0
-0.02227766,0.03910676,1.748296,-0.02675358,-0.01509952,0.9991922,0.02590842
-0.03185241,0.3710995,1.765784,-0.02034425,-0.01493303,0.9993432,0.02600473
-0.04076951,0.6856708,1.770496,-0.01331613,-0.01391519,0.9997933,-0.00650829
-0.05981433,0.8320412,1.761969,0,0,0,0
-0.2213482,0.5508004,1.758752,-0.03587201,0.8074945,-0.5887424,0.006944502
-0.2621176,0.2956017,1.76123,-0.04442605,0.7901703,-0.06564975,-0.6077395
-0.2731055,0.08345555,1.678334,-0.1517283,0.7166041,0.1086731,-0.6720471
-0.2554554,0.007543823,1.651483,-0.04816331,0.720616,0.192957,-0.6641992
0.1325646,0.5595158,1.750068,-0.05260582,0.7985813,0.5988659,-0.02932836
0.2058935,0.3140245,1.776846,-0.05195543,0.7584587,0.1442643,0.6334263
0.2430471,0.1095336,1.68136,-0.2178742,0.744745,-0.07419676,0.6264029
0.2504281,0.02817654,1.633106,-0.2293752,0.7440577,-0.1365341,0.6124734
-0.1034468,0.03623191,1.713143,-0.1614453,0.7075955,-0.6765305,0.1247017
-0.122194,-0.3397928,1.717451,0.01412346,-0.6881765,0.02129507,0.7250932
-0.1180607,-0.7056606,1.766176,-0.04283847,-0.5771532,0.05071242,0.8139333
-0.1483382,-0.7668886,1.685386,0,0,0,0
0.05992799,0.04021499,1.704459,-0.1837492,0.684602,0.6871562,-0.1592885
0.09101724,-0.3348153,1.722583,-0.01094714,0.724825,0.04654339,0.6872718
0.08937321,-0.6963175,1.757287,0.03254469,0.643393,0.0351292,0.7640368
0.1054034,-0.7603777,1.668615,0,0,0,0
-0.03862993,0.6092876,1.771463,-0.01357865,-0.01438038,0.9997357,0.0117194
-0.2672579,-0.0657014,1.623292,0,0,0,0
-0.3005231,-0.01742086,1.632496,0,0,0,0
0.2558832,-0.04432585,1.603429,0,0,0,0
0.2726776,0.01515035,1.597234,0,0,0,0
-0.02226816,0.03909588,1.748373,-0.02674236,-0.01511989,0.9991944,0.02582392
-0.03185847,0.3711018,1.765806,-0.02042603,-0.01495636,0.9993435,0.02591898
-0.04078485,0.6856805,1.770498,-0.01349387,-0.01393959,0.9997904,-0.006538176
-0.05988016,0.83207,1.761987,0,0,0,0
-0.2214165,0.5508816,1.758857,-0.03566055,0.807364,-0.588936,0.006790632
-0.2620093,0.2958255,1.761369,-0.04425428,0.7896066,-0.06541777,-0.6085093
-0.2729475,0.08363188,1.678105,-0.1765898,0.8755033,0.06247025,-0.4454297
-0.2568449,0.009275956,1.649217,-0.1176703,0.8764665,0.1711922,-0.4343425
0.1325407,0.5595298,1.750043,-0.05262497,0.7985696,0.5988739,-0.02945164
0.2058831,0.3139963,1.77682,-0.05192466,0.7586361,0.1442733,0.6332143
0.2430071,0.1095193,1.681541,-0.222345,0.9666586,0.0579994,0.1130038
0.2494535,0.02775877,1.634184,-0.2612648,0.9603502,0.009083187,0.09687982
-0.1034369,0.03623074,1.713218,-0.1614131,0.7075483,-0.6765786,0.1247492
-0.122101,-0.3396886,1.717736,0.0138557,-0.6881962,0.02142691,0.7250757
-0.1181827,-0.7053592,1.76656,-0.04282484,-0.5791268,0.05091388,0.8125183
-0.148199,-0.7666838,1.685251,0,0,0,0
0.05993675,0.04019453,1.704537,-0.1836792,0.6846244,0.6871375,-0.1593528
0.0910018,-0.3349531,1.72274,-0.01084608,0.7248165,0.04657743,0.6872802
0.08947816,-0.696393,1.757241,0.03246275,0.6481664,0.03482717,0.7600089
0.1046141,-0.7606533,1.666676,0,0,0,0
-0.03864123,0.6092946,1.771468,-0.01375652,-0.01439271,0.9997335,0.01168246
-0.2672205,-0.06359403,1.620759,0,0,0,0
-0.2779459,-0.002112968,1.599405,0,0,0,0
0.2532336,-0.04588583,1.606285,0,0,0,0
0.25422,0.02030383,1.590029,0,0,0,0
-0.02220337,0.03898474,1.74862,-0.02718423,-0.01517832,0.9991887,0.02554772
-0.03183164,0.3710601,1.765879,-0.02066122,-0.01501123,0.9993448,0.02564625
-0.04077941,0.6856747,1.7705,-0.01351915,-0.01395738,0.9997895,-0.006590632
-0.05990724,0.8320838,1.761978,0,0,0,0
-0.2214224,0.5508805,1.758874,-0.03557416,0.807343,-0.5889689,0.00687645
-0.2620168,0.2959274,1.76136,-0.04434683,0.7893074,-0.06539295,-0.6088933
-0.2728318,0.084608,1.677729,-0.1629741,0.777633,0.09512708,-0.5997308
-0.2579031,0.01001155,1.64527,-0.1044549,0.7771372,0.1953029,-0.5890703
0.1325337,0.5595502,1.750045,-0.05256833,0.7985218,0.5989364,-0.02957673
0.2058419,0.3139723,1.77679,-0.05193624,0.7585936,0.1441576,0.6332907
0.2429957,0.1094474,1.681628,-0.2223169,0.9662424,0.05718407,0.1169653
0.2486674,0.02700353,1.635413,-0.2541935,0.9618621,0.004465434,0.1009301
-0.1033632,0.03608698,1.713541,-0.1609785,0.707697,-0.676541,0.124672
-0.1217986,-0.3396339,1.71835,0.01338498,-0.687892,0.02150455,0.7253708
-0.1181809,-0.7052928,1.766959,-0.04237571,-0.5799255,0.05087639,0.8119743
-0.1481988,-0.7666976,1.685195,0,0,0,0
0.05999017,0.04011631,1.704718,-0.1837577,0.6844037,0.687244,-0.1597508
0.09117106,-0.3401561,1.724085,-0.009676934,0.7251081,0.04711135,0.6869535
0.08952461,-0.6965606,1.757248,0.0321308,0.6546432,0.0335193,0.7545106
0.103942,-0.7625412,1.65975,0,0,0,0
-0.0386328,0.609284,1.771478,-0.01378142,-0.01442795,0.9997343,0.0115488
-0.2655165,-0.06325097,1.615371,0,0,0,0
-0.29681,-0.006151495,1.627133,0,0,0,0
0.2525755,-0.04539287,1.606161,0,0,0,0
0.2547885,0.01949537,1.590474,0,0,0,0
-0.02222514,0.03865966,1.748809,-0.02710043,-0.01515624,0.9991975,0.02530336
-0.03185162,0.3709844,1.765916,-0.02064936,-0.01499257,0.9993516,0.02540067
-0.04079754,0.6856772,1.770483,-0.01358404,-0.01398381,0.9997876,-0.006682375
