X,Y,Z,ROTW,ROTX,ROTY,ROTZ
-0.0004894278,0.04444005,2.049071,-0.03541567,-0.003344652,0.999042,0.02548917
-0.00207423,0.368934,2.065696,-0.02959237,-0.003196037,0.9992314,0.02550823
-0.003588487,0.6793103,2.069609,-0.02352433,-0.002243492,0.9996866,-0.008260003
-0.0161234,0.825673,2.049341,0,0,0,0
-0.1882258,0.5462435,2.060577,-0.0318028,0.8049031,-0.5925514,0.001495246
-0.2164464,0.2931538,2.05879,-0.03335739,0.8350934,-0.04448758,-0.5472908
-0.2073341,0.04580636,1.973197,-0.1465162,0.8121966,-0.07943401,0.5590708
-0.1939177,-0.02017432,1.952446,-0.1780038,0.7995116,-0.00862121,0.573604
0.1718352,0.5488693,2.043961,-0.06127336,0.8037973,0.5904247,-0.0394244
0.2075015,0.2886869,2.056863,-0.02009835,0.8066603,0.06946517,0.5865746
0.2029026,0.05832987,1.958548,-0.1549641,0.7272261,0.1272613,-0.6564549
0.1825893,-0.0103291,1.933695,0.2158998,-0.6924819,-0.02100071,0.6880516
-0.08317652,0.04301406,2.016028,-0.1495155,0.7030224,-0.6853021,0.1173267
-0.1041168,-0.336878,2.027274,0.01004557,-0.6817049,0.029579,0.7309601
-0.1083127,-0.7040324,2.078808,-0.03920057,-0.6246514,0.0578678,0.7777694
-0.1324463,-0.7729492,1.981445,0,0,0,0
0.08223979,0.0441788,2.004309,-0.1879331,0.6899918,0.6806559,-0.1590595
0.1087407,-0.3411129,2.031161,0.002086019,0.7313566,0.04873958,0.6802483
0.10677,-0.6966448,2.069065,0.03568106,0.6310257,0.03939487,0.773939
0.1270752,-0.7685547,1.975586,0,0,0,0
-0.003219446,0.6036082,2.070851,-0.02358666,-0.002697889,0.9996585,0.0109203
-0.1698726,-0.1220101,1.930124,0,0,0,0
-0.1458447,-0.01197953,1.91856,0,0,0,0
0.1844488,-0.08833335,1.914726,0,0,0,0
0.1369644,-0.02015376,1.90276,0,0,0,0
-0.0005085265,0.04458999,2.049059,-0.03543342,-0.00332191,0.9990397,0.02555616
-0.002076291,0.3689927,2.065723,-0.02954859,-0.003171329,0.999231,0.02557528
-0.003578923,0.6793281,2.069682,-0.02341769,-0.002224739,0.9996901,-0.008153197
-0.01613047,0.8256292,2.049301,0,0,0,0
-0.1881827,0.5461285,2.060461,-0.03219528,0.8051223,-0.5922318,0.00170035
-0.2164463,0.2925113,2.058788,-0.03317736,0.8347275,-0.04456614,-0.5478534
-0.2073231,0.04616489,1.973278,-0.146224,0.8070172,-0.08096014,0.5663809
-0.1936322,-0.01901769,1.952071,-0.183368,0.7929764,-0.01082733,0.5809022
0.1718239,0.5488682,2.043935,-0.06151924,0.80384,0.5903378,-0.03947071
