X,Y,Z,ROTW,ROTX,ROTY,ROTZ
-0.04148873,0.04482615,1.972089,-0.01229725,-0.01385015,0.9994549,0.02733176
-0.05029059,0.3700525,1.990002,-0.0012632,-0.01354758,0.9995297,0.02748299
-0.05844994,0.6805108,1.995226,0.01049342,-0.0129054,0.999845,-0.005770794
-0.07641299,0.8254154,1.975618,0,0,0,0
-0.2351476,0.543865,1.96856,-0.06503873,0.8116298,-0.5795701,0.03354918
-0.2652726,0.2946368,1.965904,-0.03575585,0.8528901,-0.04860414,-0.518592
-0.2482849,0.07212262,1.879394,-0.1739381,0.8234646,-0.07001373,0.5354901
-0.2234514,0.007577465,1.859659,-0.2178683,0.7906245,0.06160212,0.5689037
0.1151852,0.5574083,1.977544,-0.05123466,0.7950726,0.6040658,-0.01841439
0.1652131,0.2928551,1.991514,-0.03480175,0.7982559,0.09031056,0.5944917
0.1781138,0.07235873,1.909776,-0.142221,0.6814104,-0.10795,0.7097886
0.1648439,0.001884914,1.882921,-0.06753355,0.7057022,-0.1878349,0.67981
-0.1212092,0.04081944,1.935011,-0.1698625,0.7104301,-0.6696152,0.1343549
-0.1307507,-0.3529267,1.961762,-0.01507928,-0.6991683,0.03268505,0.7140504
-0.1339639,-0.6959166,2.022135,-0.04757831,-0.5875827,0.07299031,0.8044596
-0.1665039,-0.7695313,1.933594,0,0,0,0
0.0398855,0.04706262,1.931261,-0.1777684,0.6824352,0.6933089,-0.148335
0.04878664,-0.3334276,1.959983,0.01876588,0.7144621,0.03466905,0.6985627
0.03806628,-0.685131,2.002691,0.04837126,0.5994971,0.03915858,0.7979536
0.06439209,-0.7661133,1.913086,0,0,0,0
-0.05650605,0.6048609,1.996119,0.01025417,-0.01309409,0.9997751,0.01315551
-0.1914031,-0.0958074,1.833132,0,0,0,0
-0.1676241,-0.001666945,1.825462,0,0,0,0
0.1774895,-0.07112917,1.855504,0,0,0,0
0.2105615,0.002765616,1.855062,0,0,0,0
-0.0415308,0.0453135,1.972186,-0.01193935,-0.01379673,0.9994584,0.02738632
-0.05029546,0.3702277,1.990114,-0.0009752359,-0.01349549,0.9995292,0.02753601
-0.0584342,0.6805322,1.99538,0.01070712,-0.01287748,0.9998438,-0.005650194
-0.07637965,0.8254448,1.97567,0,0,0,0
-0.2351765,0.5438593,1.968623,-0.0651714,0.8116847,-0.5794725,0.03365109
-0.2652702,0.2949477,1.966155,-0.03547795,0.8525805,-0.0487859,-0.5191029
-0.2482427,0.07204528,1.879386,-0.1749755,0.8300042,-0.06794881,0.5252233
-0.2233286,0.00692037,1.860304,-0.2122836,0.7985388,0.06711689,0.5592554
0.1153581,0.5575651,1.977764,-0.05107652,0.7948386,0.6043938,-0.01818885
0.165143,0.2926635,1.991637,-0.03456043,0.7988052,0.08976657,0.59385
0.1779894,0.07113947,1.910415,-0.1321137,0.6243258,-0.1174734,0.7608963
0.1627355,-0.0005805194,1.888262,-0.02211271,0.6541622,-0.1770586,0.7350055
-0.1212427,0.04120854,1.935064,-0.1699533,0.7107773,-0.6691783,0.1345799
-0.1307992,-0.352607,1.961746,-0.01501374,-0.6994197,0.03262543,0.7138082
-0.1339465,-0.6959559,2.022209,-0.04772791,-0.5880978,0.07293124,0.8040796
-0.166297,-0.7693807,1.933744,0,0,0,0
0.03983488,0.0476413,1.931441,-0.1776484,0.6821498,0.6937056,-0.1479369
0.04882538,-0.3335607,1.960019,0.01850241,0.7142285,0.03456287,0.6988137
0.03842523,-0.6857255,2.002439,0.04771698,0.5996961,0.03904843,0.7978489
0.06471308,-0.7666715,1.912974,0,0,0,0
-0.05649532,0.6049129,1.996256,0.01046923,-0.01306437,0.9997725,0.01321589
-0.2075285,-0.09164412,1.850618,0,0,0,0
-0.1686487,-0.001892192,1.829119,0,0,0,0
0.1729229,-0.07718457,1.864696,0,0,0,0
0.2068371,-0.001386703,1.864609,0,0,0,0
-0.04139926,0.04530034,1.972167,-0.01195993,-0.01391784,0.9994541,0.02747478
-0.050242,0.3702228,1.990154,-0.0009503249,-0.01361436,0.9995251,0.02762642
-0.05842083,0.6805272,1.995528,0.01077864,-0.01295991,0.9998433,-0.00541278
-0.07631396,0.8254952,1.975721,0,0,0,0
-0.2350643,0.5438573,1.968721,-0.06529778,0.8117236,-0.5794073,0.03358852
-0.265196,0.2949283,1.966309,-0.03542661,0.8524889,-0.04889923,-0.519246
-0.2481773,0.07188094,1.879443,-0.1758763,0.8366613,-0.06577715,0.5145278
-0.2219513,0.005750307,1.859183,-0.2190023,0.8032019,0.0709011,0.5494341
0.1153754,0.5575809,1.977906,-0.05111017,0.7948141,0.6044285,-0.01801453
0.1650082,0.2921421,1.991723,-0.03404126,0.801294,0.0894498,0.5905657
0.177507,0.06837703,1.911444,-0.1284723,0.6199183,-0.1162541,0.7652981
0.161355,-0.001200538,1.889631,-0.01593724,0.6507351,-0.1842111,0.7364483
-0.1211153,0.04119381,1.935051,-0.1700108,0.7108067,-0.6691573,0.1344568
-0.1310069,-0.3522105,1.961835,-0.014816,-0.6994216,0.03304771,0.7137911
-0.1338723,-0.6966099,2.022548,-0.04817201,-0.5886698,0.07272379,0.8036532
-0.1660519,-0.7692841,1.933805,0,0,0,0
0.03996558,0.04762981,1.931422,-0.1776711,0.6821466,0.6937063,-0.1479206
0.04880285,-0.3344508,1.960266,0.01884856,0.7142188,0.03458382,0.6988134
0.0386258,-0.6857604,2.002117,0.04702461,0.5981268,0.03878711,0.7990798
0.06538284,-0.7673689,1.912566,0,0,0,0
-0.05646915,0.604908,1.996367,0.01054095,-0.01311983,0.999769,0.01336937
-0.1966837,-0.09183728,1.841624,0,0,0,0
-0.1678325,-0.002632058,1.82408,0,0,0,0
0.1732755,-0.07762977,1.870529,0,0,0,0
0.206523,-0.01214894,1.862182,0,0,0,0
-0.04141925,0.04546236,1.972173,-0.0118134,-0.01385351,0.9994555,0.02751927
